Location,Latitude,Longitude,Date,Parameter,Sample Fraction,Value,Unit,Organization
Stony Bk trib 6 dnstrm Van Dyke Rd nr Hopewell NJ,40.39125,-74.78985,2016-07-15,Phosphate-phosphorus,Total,0.0439,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
HO1,40.34053,-74.74313,2016-01-16,Nitrate,Dissolved,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
PL1,40.270199,-74.522059,2016-04-15,Nitrate,Dissolved,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-09-27,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.688,mg/L,Delaware River Basin Commission
SB3,40.358549,-74.691108,2016-08-19,Orthophosphate,Dissolved,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Assunpink Creek at Mill Hill Park,40.21826,-74.763063,2016-08-01,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Dissolved,1.04,mg/L,Delaware River Basin Commission
Millstone River,40.321958,-74.607731,2016-03-19,Nitrate,Dissolved,0.7,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Doctors Ck at S Broad St off Rt 130,40.176397,-74.668605,2016-09-20,Kjeldahl nitrogen,Total,0.4,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Delaware River at Trenton,40.22032,-74.7777,2016-09-27,Orthophosphate,Total,0.0681,mg/L,Delaware River Basin Commission
Crosswicks C at Crosswicks NJ,40.16,-74.65528,2016-07-13,Ammonia-nitrogen,Dissolved,0.044,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Delaware River at Trenton,40.22032,-74.7777,2016-09-13,Kjeldahl nitrogen,Total,0.282,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2016-06-21,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.804,mg/L,Delaware River Basin Commission
Stony Brook On Titus Mill Road,40.349373,-74.782116,2016-10-13,Kjeldahl nitrogen,Dissolved,0.0553,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
HO1,40.34053,-74.74313,2016-12-17,Nitrate,Dissolved,2.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB1,40.33286,-74.69188,2016-06-17,Orthophosphate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Millstone River,40.321958,-74.607731,2016-03-19,Orthophosphate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BD4,40.384418,-74.740618,2016-11-19,Nitrate,Dissolved,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO1,40.34053,-74.74313,2016-07-17,Nitrate,Dissolved,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Bk nr Stony Bk Rd,40.369784,-74.789037,2016-06-22,Kjeldahl nitrogen,Total,0.445,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
SB3,40.358549,-74.691108,2016-08-19,Nitrate,Dissolved,1.6,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO2,40.357435,-74.765537,2016-05-20,Orthophosphate,Dissolved,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook On Titus Mill Road,40.349373,-74.782116,2016-10-13,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Dissolved,0.0338,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
SB4,40.33175,-74.77833,2016-07-15,Orthophosphate,Dissolved,0.6,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Assunpink Creek at Mill Hill Park,40.21826,-74.763063,2016-08-18,Orthophosphate,Dissolved,0.638,mg/L,Delaware River Basin Commission
BD4,40.384418,-74.740618,2016-09-17,Orthophosphate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River Morisville Transect 11.5,40.2189,-74.7744,2016-11-02,Phosphorus,Dissolved,0.072,mg/L,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION
Delaware River Morisville Transect 11.5,40.2189,-74.7744,2016-08-23,Phosphorus,Dissolved,0.097,mg/L,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION
Millstone River,40.321958,-74.607731,2016-02-20,Nitrate,Dissolved,0.7,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-05-24,Ammonia-nitrogen,Total,0.0115,mg/L,Delaware River Basin Commission
Assunpink Creek at Mill Hill Park,40.21826,-74.763063,2016-07-25,Orthophosphate,Dissolved,0.635,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2016-09-27,Ammonia-nitrogen,Total,0.00825,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2016-06-07,Orthophosphate,Total,0.0778,mg/L,Delaware River Basin Commission
BD4,40.384418,-74.740618,2016-08-20,Nitrate,Dissolved,0.9,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-07-26,Orthophosphate,Total,0.094,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2016-09-13,Orthophosphate,Total,0.0895,mg/L,Delaware River Basin Commission
Delaware River Morisville Transect 11.5,40.2189,-74.7744,2016-11-02,Ammonia,Total,0.037,mg/L,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION
Delaware River Morisville Transect 11.5,40.2189,-74.7744,2016-11-02,Nitrate + Nitrite,Dissolved,0.837,mg/L,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION
SB5,40.37422,-74.793866,2016-09-18,Nitrate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Millstone R nr Melville Rd,40.316838,-74.601036,2016-07-15,Kjeldahl nitrogen,Total,0.696,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
HO1,40.34053,-74.74313,2016-12-17,Orthophosphate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BACK CREEK AT HAMILTON TOWNSHIP,40.192159,-74.665349,2016-06-02,Escherichia coli,Total,770.1,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
SB3,40.358549,-74.691108,2016-03-19,Nitrate,Dissolved,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB3,40.358549,-74.691108,2016-11-18,Nitrate,Dissolved,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Harrys Brook,40.359046,-74.638738,2016-02-20,Orthophosphate,Dissolved,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Assunpink Creek at Mill Hill Park,40.21826,-74.763063,2016-08-18,Ammonia-nitrogen,Dissolved,0.0651,mg/L,Delaware River Basin Commission
Crosswicks C at Crosswicks NJ,40.16,-74.65528,2016-04-06,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Dissolved,0.368,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Stony Bk nr Stony Bk Rd,40.369784,-74.789037,2016-06-22,Phosphate-phosphorus,Total,0.06,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Crosswicks C at Crosswicks NJ,40.16,-74.65528,2016-07-13,Kjeldahl nitrogen,Total,0.423,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
MR2,40.321958,-74.607731,2016-08-14,Nitrate,Dissolved,1.6,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO1,40.34053,-74.74313,2016-09-18,Orthophosphate,Dissolved,0.6,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
