Location,Latitude,Longitude,Date,Parameter,Sample Fraction,Value,Unit,Organization
Delaware River at Trenton,40.22032,-74.7777,2000-07-10,Fecal Coliform,,13.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-05-22,Nitrate,Total,0.6,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-09-27,Nitrate,Total,1.0,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-06-19,Enterococcus,,80.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-09-11,Nitrate,Total,1.63,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-08-21,Enterococcus,,2.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-07-24,Nitrate,Total,1.7,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-05-22,Orthophosphate,Total,0.11,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-07-10,Enterococcus,,2.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-09-11,Fecal Coliform,,235.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-06-05,Orthophosphate,Total,0.06,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-05-08,Nitrate,Total,0.6,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-08-07,Nitrate,Total,2.25,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-08-21,Nitrate,Total,2.1,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-09-11,Enterococcus,,2.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-08-21,Fecal Coliform,,110.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-06-19,Fecal Coliform,,245.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-07-24,Enterococcus,,110.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-05-08,Orthophosphate,Total,0.14,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-07-24,Fecal Coliform,,85.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-07-10,Nitrate,Total,0.6,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-06-05,Nitrate,Total,1.7,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-25,Orthophosphate,Total,0.07,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-19,Ammonia-nitrogen,Total,0.08,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-25,Fecal Coliform,,70.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-22,Nitrate,Total,1.7,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-19,Nitrate,Total,1.2,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-22,Ammonia-nitrogen,Total,0.16,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-17,Phosphate-phosphorus,Total,0.13,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-08,Fecal Coliform,,24.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-08,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-17,Orthophosphate,Total,0.09,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-17,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-05,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-17,Kjeldahl nitrogen,Total,0.79,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-24,Escherichia coli,,10.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-17,Nitrate,Total,1.56,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-05,Phosphate-phosphorus,Total,0.13,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-05,Kjeldahl nitrogen,Total,0.46,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-05,Enterococcus,,92.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-22,Phosphate-phosphorus,Total,0.12,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-07,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-21,Orthophosphate,Total,0.07,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-25,Escherichia coli,,80.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-25,"Total Nitrogen, mixed forms",Total,1.71,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-10,Nitrate,Total,1.4,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-19,Fecal Coliform,,400.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-24,Phosphate-phosphorus,Total,0.09,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-07,Orthophosphate,Total,0.07,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-24,Enterococcus,,15.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-08,Enterococcus,,5.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-22,Escherichia coli,,1104.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-07,Escherichia coli,,50.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-25,Phosphate-phosphorus,Total,0.11,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-17,Escherichia coli,,65.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-10,Fecal Coliform,,60.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-17,"Total Nitrogen, mixed forms",Total,2.35,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-08,Kjeldahl nitrogen,Total,0.75,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-10,Phosphate-phosphorus,Total,0.12,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-07,Fecal Coliform,,140.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-08,Escherichia coli,,40.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-24,Orthophosphate,Total,0.04,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-07,Enterococcus,,90.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-24,"Total Nitrogen, mixed forms",Total,2.17,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-25,Enterococcus,,680.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-08,"Total Nitrogen, mixed forms",Total,2.1,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-19,Kjeldahl nitrogen,Total,0.57,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-22,Fecal Coliform,,1240.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-07,Phosphate-phosphorus,Total,0.13,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-24,Kjeldahl nitrogen,Total,0.87,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-05,Nitrate,Total,1.2,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-08,Phosphate-phosphorus,Total,0.15,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-21,Enterococcus,,10.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-05,Orthophosphate,Total,0.04,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-21,Escherichia coli,,65.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-17,Enterococcus,,140.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-21,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-17,Fecal Coliform,,130.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-07,Nitrate,Total,1.5,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-22,Kjeldahl nitrogen,Total,0.59,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-21,Nitrate,Total,1.4,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-10,Enterococcus,,20.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-10,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-19,"Total Nitrogen, mixed forms",Total,1.77,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-25,Kjeldahl nitrogen,Total,0.36,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-21,Fecal Coliform,,210.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-19,Escherichia coli,,290.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-10,Kjeldahl nitrogen,Total,0.7,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-19,Orthophosphate,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-24,Fecal Coliform,,25.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-10,Orthophosphate,Total,0.04,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-24,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-05,Escherichia coli,,50.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-07,"Total Nitrogen, mixed forms",Total,2.33,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-21,"Total Nitrogen, mixed forms",Total,2.28,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-25,Nitrate,Total,1.35,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-19,Phosphate-phosphorus,Total,0.15,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-10,"Total Nitrogen, mixed forms",Total,2.1,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-05,"Total Nitrogen, mixed forms",Total,1.66,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-08,Nitrate,Total,1.35,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-24,Nitrate,Total,1.3,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-08,Orthophosphate,Total,0.06,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-07,Kjeldahl nitrogen,Total,0.83,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-05,Fecal Coliform,,3100.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-07-10,Escherichia coli,,40.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-22,"Total Nitrogen, mixed forms",Total,2.29,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-21,Kjeldahl nitrogen,Total,0.88,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-22,Enterococcus,,444.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-05-22,Orthophosphate,Total,0.09,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-08-21,Phosphate-phosphorus,Total,0.11,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-09-25,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2001-06-19,Enterococcus,,66.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-09,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-09,Kjeldahl nitrogen,Total,0.09,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-21,Orthophosphate,Total,0.03,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-18,Enterococcus,,62.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-24,Escherichia coli,,36.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-23,"Total Nitrogen, mixed forms",Total,1.83,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-20,Nitrate,Total,1.23,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-24,"Total Nitrogen, mixed forms",Total,1.73,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-06,Nitrate,Total,1.32,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-05,Enterococcus,,150.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-24,Phosphate-phosphorus,Total,0.14,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-07,Phosphate-phosphorus,Total,0.06,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-10,Escherichia coli,,30.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-05,Kjeldahl nitrogen,Total,0.24,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-05,"Total Nitrogen, mixed forms",Total,1.28,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-05,Phosphate-phosphorus,Total,0.07,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-20,Kjeldahl nitrogen,Total,0.47,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-20,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-24,Enterococcus,,24.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-23,Phosphate-phosphorus,Total,0.12,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-10,Fecal Coliform,,120.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-23,Kjeldahl nitrogen,Total,0.51,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-18,Escherichia coli,,14.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-07,"Total Nitrogen, mixed forms",Total,0.61,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-20,Orthophosphate,Total,0.09,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-10,Nitrate,Total,1.21,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-09,"Total Nitrogen, mixed forms",Total,1.22,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-10,Ammonia-nitrogen,Total,0.08,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-10,Kjeldahl nitrogen,Total,0.2,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-24,Nitrate,Total,1.32,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-10,Enterococcus,,32.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-06,Orthophosphate,Total,0.1,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-20,Fecal Coliform,,10.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-18,Fecal Coliform,,64.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-21,Kjeldahl nitrogen,Total,0.48,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-24,Kjeldahl nitrogen,Total,0.41,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-23,Fecal Coliform,,88.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-05,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-20,Phosphate-phosphorus,Total,0.14,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-20,Escherichia coli,,44.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-05,Nitrate,Total,1.04,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-06,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-24,Fecal Coliform,,60.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-18,Phosphate-phosphorus,Total,0.08,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-06,Fecal Coliform,,100.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-10,"Total Nitrogen, mixed forms",Total,1.41,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-06,"Total Nitrogen, mixed forms",Total,1.47,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-20,Enterococcus,,20.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-21,Nitrate,Total,0.43,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-09,Nitrate,Total,1.13,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-21,Enterococcus,,4.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-23,Escherichia coli,,24.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-05,Fecal Coliform,,28.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-10,Phosphate-phosphorus,Total,0.12,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-07,Orthophosphate,Total,0.03,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-06,Kjeldahl nitrogen,Total,0.15,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-21,Fecal Coliform,,84.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-09,Phosphate-phosphorus,Total,0.09,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-23,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-20,"Total Nitrogen, mixed forms",Total,1.7,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-24,Ammonia-nitrogen,Total,0.06,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-07,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-10,Orthophosphate,Total,0.08,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-09,Fecal Coliform,,28.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-06,Phosphate-phosphorus,Total,0.13,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-07,Kjeldahl nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-18,Ammonia-nitrogen,Total,0.06,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-07,Enterococcus,,28.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-21,"Total Nitrogen, mixed forms",Total,0.91,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-09,Escherichia coli,,10.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-07,Nitrate,Total,0.56,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-09,Enterococcus,,10.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-09-24,Orthophosphate,Total,0.09,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-07,Fecal Coliform,,56.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-18,"Total Nitrogen, mixed forms",Total,1.18,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-05,Orthophosphate,Total,0.04,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-21,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-21,Escherichia coli,,72.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-07,Escherichia coli,,12.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-09,Orthophosphate,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-23,Enterococcus,,24.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-05-21,Phosphate-phosphorus,Total,0.08,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-18,Nitrate,Total,0.99,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-18,Orthophosphate,Total,0.04,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-23,Nitrate,Total,1.32,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-18,Kjeldahl nitrogen,Total,0.19,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-06,Escherichia coli,,8.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-08-06,Enterococcus,,60.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-07-23,Orthophosphate,Total,0.08,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2002-06-05,Escherichia coli,,28.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-08-18,"Total Nitrogen, mixed forms",Total,1.69,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-07-08,Escherichia coli,,4.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-06-03,Enterococcus,,250.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-09-23,Phosphate-phosphorus,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-06-17,"Total Nitrogen, mixed forms",Total,1.42,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-07-22,Orthophosphate,Total,0.04,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-07-08,Orthophosphate,Total,0.01,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-08-05,Fecal Coliform,,1200.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-05-06,Nitrate,Total,0.73,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-08-05,Enterococcus,,990.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-06-03,Escherichia coli,,220.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-05-20,Enterococcus,,5.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-06-03,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-05-06,Ammonia-nitrogen,Total,0.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-07-22,Ammonia-nitrogen,Total,0.15,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-06-17,Enterococcus,,80.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-05-06,Orthophosphate,Total,0.01,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-05-20,Nitrate,Total,0.96,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-08-18,Nitrate,Total,1.05,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-07-22,Escherichia coli,,280.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2003-07-08,Enterococcus,,16.0,#/100mL,Delaware River Basin Commission
